,accuracy,block,penalDist,penaltyPos,penaltyVal,pokePos,pokeTime,pokeType,rewardVal,score,sepDist,targDist,targSize,targetPos,trial,,
90,1,2,41.59326869,"[-144.0, -100.0]",0,"[-103, -93]",0.683803689,1,1,1,-44,7.615773106,64,"[-100.0, -100.0]",17,,
91,0,2,26.83281573,"[-32.0, -100.0]",-1,"[-8, -88]",0.734030692,3,1,0,-32,14.4222051,64,"[0.0, -100.0]",16,,
92,1,2,58.24946352,"[56.0, 100.0]",-5,"[113, 88]",0.901103513,1,1,1,-44,17.69180601,64,"[100.0, 100.0]",15,,
93,1,2,49.03060269,"[44.0, 100.0]",-1,"[-4, 110]",0.900995953,1,1,1,44,10.77032961,64,"[0.0, 100.0]",14,,
94,1,2,33.24154028,"[-32.0, 100.0]",0,"[1, 96]",0.80067114,1,1,1,-32,4.123105626,64,"[0.0, 100.0]",13,,
95,1,2,40.11234224,"[32.0, 0.0]",-5,"[-8, -3]",0.867251798,1,1,1,32,8.544003745,64,"[0.0, 0.0]",12,,
96,1,2,51.54609588,"[-56.0, -100.0]",0,"[-105, -116]",0.868111378,1,1,1,44,16.76305461,64,"[-100.0, -100.0]",11,,
97,1,2,58.03447251,"[144.0, 0.0]",-1,"[86, -2]",0.834469976,1,1,1,44,14.14213562,64,"[100.0, 0.0]",10,,
98,1,2,55.73149917,"[56.0, 0.0]",0,"[111, -9]",0.902184824,1,1,1,-44,14.2126704,64,"[100.0, 0.0]",9,,
99,1,2,43.0464865,"[68.0, -100.0]",0,"[111, -98]",0.867475932,1,1,1,-32,11.18033989,64,"[100.0, -100.0]",8,,
100,1,2,60.29925373,"[56.0, 0.0]",-5,"[116, 6]",0.866852503,1,1,1,-44,17.08800749,64,"[100.0, 0.0]",7,,
101,1,2,48.33218389,"[-68.0, 100.0]",-5,"[-112, 120]",0.884618863,1,1,1,32,23.32380758,64,"[-100.0, 100.0]",6,,
102,-2,2,71.47027354,"[-32.0, 100.0]",-5,"[36, 122]",0.984048644,4,1,0,-32,42.19004622,64,"[0.0, 100.0]",5,,
103,1,2,49.64876635,"[32.0, 100.0]",0,"[-17, 108]",0.901246526,1,1,1,32,18.78829423,64,"[0.0, 100.0]",4,,
104,1,2,55.54277631,"[-32.0, 0.0]",-1,"[22, -13]",0.900606874,1,1,1,-32,25.55386468,64,"[0.0, 0.0]",3,,
105,1,2,32.75667871,"[56.0, 0.0]",-1,"[88, 7]",0.784049485,1,1,1,-44,13.89244399,64,"[100.0, 0.0]",2,,
106,1,2,63.12685641,"[-56.0, -100.0]",-5,"[-119, -96]",0.801004035,1,1,1,44,19.41648784,64,"[-100.0, -100.0]",1,,
107,1,2,41.77319715,"[32.0, -100.0]",-1,"[-9, -92]",0.901385333,1,1,1,32,12.04159458,64,"[0.0, -100.0]",0,,
108,1,3,58.30951895,"[-44.0, -100.0]",0,"[10, -78]",0.900197664,1,1,1,-44,24.16609195,64,"[0.0, -100.0]",35,,
109,-2,3,70.68238819,"[56.0, 100.0]",-1,"[120, 70]",0.900095212,4,1,0,-44,36.05551275,64,"[100.0, 100.0]",34,,
110,1,3,39.29376541,"[44.0, -100.0]",-5,"[6, -90]",0.784531403,1,1,1,44,11.66190379,64,"[0.0, -100.0]",33,,
111,1,3,46.57252409,"[56.0, 100.0]",-5,"[101, 112]",0.866347451,1,1,1,-44,12.04159458,64,"[100.0, 100.0]",32,,
112,1,3,33.83784863,"[-32.0, 0.0]",-5,"[0, -11]",0.851503845,1,1,1,-32,11,64,"[0.0, 0.0]",31,,
